t,spot_price,act_dol,act_ETH,net_worth,profit,threshold,target_price,price_gap,fees,spent,gains,profit
8482,361.48,582226.4833750005,1085,974432.2833750006,-25567.71662499942,1.2651800000000002,360.74510000000004,0.7348999999999819,5535.566624999996,1313232.3000000003,900994.3500000009,-417773.51662499935
8483,361.65,582226.4833750005,1085,974616.7333750005,-25383.266624999465,1.2657749999999999,360.7498000000001,0.9001999999998702,5535.566624999996,1313232.3000000003,900994.3500000009,-417773.51662499935
8484,362.65,584035.2002500006,1080,975697.2002500006,-24302.799749999424,1.269275,360.75270000000006,1.897299999999916,5540.099749999996,1313232.3000000003,902807.6000000009,-415964.79974999937
8485,364.95,585855.3883750006,1075,978176.6383750006,-21823.361624999437,1.277325,360.76610000000005,4.183899999999937,5544.661624999996,1313232.3000000003,904632.3500000009,-414144.6116249994
8486,364.45,587673.0827500005,1070,977634.5827500005,-22365.417249999475,1.275575,360.8047000000001,3.6452999999999065,5549.217249999996,1313232.3000000003,906454.6000000009,-412326.91724999936
8487,364.91,589493.0713750005,1065,978122.2213750005,-21877.778624999453,1.277185,360.83910000000003,4.070899999999995,5553.778624999996,1313232.3000000003,908279.150000001,-410506.9286249993
8488,365.53,591316.1522500005,1060,978777.9522500006,-21222.047749999445,1.279355,360.87769999999995,4.652300000000025,5558.347749999996,1313232.3000000003,910106.800000001,-408683.8477499993
8489,365.81,593140.6296250005,1055,979070.1796250006,-20929.820374999428,1.280335,360.9225,4.887499999999989,5562.920374999996,1313232.3000000003,911935.850000001,-406859.37037499924
8490,365.72,594964.6581250005,1050,978970.6581250005,-21029.34187499946,1.2800200000000002,360.97049999999996,4.749500000000069,5567.491874999996,1313232.3000000003,913764.450000001,-405035.3418749993
8491,365.85,596789.3350000005,1045,979102.5850000005,-20897.414999999455,1.280475,361.02479999999997,4.825200000000052,5572.064999999996,1313232.3000000003,915593.700000001,-403210.6649999993
8492,365.85,598614.0118750005,1040,979098.0118750005,-20901.98812499945,1.280475,361.0831,4.766900000000021,5576.638124999996,1313232.3000000003,917422.950000001,-401385.9881249993
8493,364.50,600431.9556250005,1035,977689.4556250005,-22310.544374999474,1.27575,361.1347,3.3652999999999906,5581.1943749999955,1313232.3000000003,919245.450000001,-399568.0443749993
8494,364.50,602249.8993750005,1030,977684.8993750005,-22315.100624999497,1.27575,361.17119999999994,3.328800000000058,5585.750624999995,1313232.3000000003,921067.950000001,-397750.10062499926
8495,364.11,604065.8980000005,1025,977278.6480000005,-22721.35199999949,1.274385,361.2048,2.905200000000036,5590.301999999995,1313232.3000000003,922888.500000001,-395934.1019999992
8496,362.82,605875.4627500005,1020,975951.8627500006,-24048.137249999447,1.26987,361.2321,1.5878999999999905,5594.837249999995,1313232.3000000003,924702.600000001,-394124.53724999924
8497,363.10,607686.4240000006,1015,976232.9240000006,-23767.07599999942,1.27085,361.232,1.867999999999995,5599.375999999995,1313232.3000000003,926518.100000001,-392313.57599999924
8498,363.45,609499.1308750006,1010,976583.6308750006,-23416.369124999386,1.272075,361.2327,2.217299999999966,5603.919124999995,1313232.3000000003,928335.350000001,-390500.86912499927
8499,363.51,611312.1370000006,1005,976639.6870000006,-23360.312999999383,1.2722849999999999,361.23689999999993,2.2731000000000563,5608.462999999995,1313232.3000000003,930152.9000000011,-388687.8629999992
8500,363.53,613125.2428750006,1000,976655.2428750006,-23344.75712499942,1.272355,361.2416999999999,2.2883000000000493,5613.0071249999955,1313232.3000000003,931970.5500000011,-386874.7571249992
8501,364.88,614945.0818750006,995,978000.6818750006,-21999.31812499941,1.27708,361.24229999999994,3.637700000000052,5617.568124999995,1313232.3000000003,933794.9500000011,-385054.91812499915
8502,364.88,616764.9208750007,990,977996.1208750007,-22003.87912499928,1.27708,361.2564,3.6236000000000104,5622.129124999995,1313232.3000000003,935619.3500000011,-383235.0791249991
8503,364.88,618584.7598750007,985,977991.5598750007,-22008.440124999266,1.27708,361.2702,3.609800000000007,5626.690124999995,1313232.3000000003,937443.7500000012,-381415.24012499914
8504,364.88,620404.5988750007,980,977986.9988750007,-22013.001124999253,1.27708,361.2839999999999,3.5960000000001173,5631.251124999994,1313232.3000000003,939268.1500000012,-379595.4011249991
8505,365.00,622225.0363750007,975,978100.0363750007,-21899.963624999276,1.2775,361.29649999999987,3.7035000000001332,5635.813624999994,1313232.3000000003,941093.1500000012,-377774.9636249991
8506,365.00,624045.4738750007,970,978095.4738750007,-21904.526124999276,1.2775,361.30749999999995,3.6925000000000523,5640.376124999994,1313232.3000000003,942918.1500000012,-375954.5261249991
8507,365.20,625866.9088750008,965,978284.9088750008,-21715.09112499922,1.2782,361.3184999999999,3.8815000000000737,5644.941124999994,1313232.3000000003,944744.1500000012,-374133.0911249991
8508,365.31,627688.8925000008,960,978386.4925000007,-21613.50749999925,1.278585,361.33149999999995,3.9785000000000537,5649.507499999994,1313232.3000000003,946570.7000000012,-372311.10749999905
8509,365.31,629510.8761250008,955,978381.9261250007,-21618.073874999303,1.278585,361.35049999999995,3.959500000000048,5654.073874999995,1313232.3000000003,948397.2500000013,-370489.123874999
8510,365.32,631332.9096250008,950,978386.9096250008,-21613.090374999214,1.27862,361.37069999999994,3.9493000000000507,5658.6403749999945,1313232.3000000003,950223.8500000013,-368667.09037499904
8511,365.31,633154.8932500008,945,978372.8432500008,-21627.15674999915,1.278585,361.3909999999999,3.9190000000000964,5663.206749999995,1313232.3000000003,952050.4000000013,-366845.106749999
8512,365.31,634976.8768750008,940,978368.2768750008,-21631.723124999204,1.278585,361.4111999999999,3.898800000000108,5667.773124999995,1313232.3000000003,953876.9500000014,-365023.12312499894
8513,365.31,636798.8605000008,935,978363.7105000007,-21636.289499999257,1.278585,361.43139999999994,3.8786000000000627,5672.3394999999955,1313232.3000000003,955703.5000000014,-363201.1394999989
